UKPRN,HE provider,Total number of cycle spaces,Total number of car parking spaces,Total renewable energy generated onsite or offsite (kWh)
10007783,The University of Aberdeen,753,1530,6936.0
10007849,Abertay University,86,256,0.0
10007856,Aberystwyth University,342,2525,6931.2
10000291,Anglia Ruskin University,2096,730,38402.7
10007759,Aston University,238,497,42766.0
10007857,Bangor University,685,1951,29684.0
10000571,Bath Spa University,241,843,907400.0
10007850,The University of Bath,874,2097,77839.0
10007152,University of Bedfordshire,238,714,54336.0
10005343,Queen's University Belfast,990,1402,0.0
10007760,Birkbeck College,30,0,0.0
10007140,Birmingham City University,0,0,19722.0
10006840,The University of Birmingham,0,3591,50772.0
10000712,University College Birmingham,159,309,0.0
10007811,Bishop Grosseteste University,102,228,13556.5
10006841,The University of Bolton,45,526,2417.79
10000385,The Arts University Bournemouth,180,220,7400.0
10000824,Bournemouth University,807,1227,1029044.0
10007785,The University of Bradford,210,1298,62643.0
10000886,The University of Brighton,1032,1421,168819.0
10007786,The University of Bristol,3152,1738,416081.0
10000961,Brunel University London,788,2111,0.0
10000975,Buckinghamshire New University,228,546,105703.0
10007788,The University of Cambridge,9000,3700,1867298.439
10003324,The Institute of Cancer Research,90,362,31937.0
10001143,Canterbury Christ Church University,840,1322,54894.0
10007814,Cardiff University,3151,1843,35592.0
10007854,Cardiff Metropolitan University,530,1605,22411.0
10007141,The University of Central Lancashire,644,1897,799165.0
10007848,University of Chester,272,2417,190681.0
10007137,The University of Chichester,272,761,0.0
10001478,"City, University of London",270,39,14185.0
10007761,Courtauld Institute of Art,0,0,0.0
10001726,Coventry University,646,1597,1000.0
10007822,Cranfield University,402,2441,10000.0
10006427,University for the Creative Arts,142,796,0.0
10007842,University of Cumbria,300,1101,0.0
10001883,De Montfort University,600,877,111072.0
10007851,University of Derby,400,1725,122232.0
10007852,The University of Dundee,609,765,14275.0
10007143,University of Durham,1562,3181,242761.0
10007789,The University of East Anglia,3960,1976,65612.78
10007144,The University of East London,516,700,133688.01
10007823,Edge Hill University,219,1667,33057.462
10007772,Edinburgh Napier University,597,908,28358.0
10007790,The University of Edinburgh,4568,2901,12500.0
10007791,The University of Essex,977,1720,108349.9
10007792,The University of Exeter,0,1991,314797.0
10008640,Falmouth University,360,620,49829.152
10004511,The National Film and Television School,30,0,0.0
10007762,Glasgow Caledonian University,118,151,4498948.0
10002681,Glasgow School of Art,72,41,0.0
