UKPRN,HE provider,Total number of cycle spaces,Total number of car parking spaces,Total renewable energy generated onsite or offsite (kWh)
10007783,The University of Aberdeen,831,1528,6355.0
10007849,Abertay University,86,225,0.0
10007856,Aberystwyth University,342,2930,104942.0
10000291,Anglia Ruskin University,2096,676,38970.0
10007759,Aston University,126,866,27691.0
10007857,Bangor University,685,1951,31645.9
10000571,Bath Spa University,290,915,1581075.0
10007850,The University of Bath,855,2072,95732.0
10007152,University of Bedfordshire,209,637,140411.0
10005343,Queen's University Belfast,1074,1270,0.0
10007760,Birkbeck College,30,0,0.0
10007140,Birmingham City University,0,0,41528.0
10006840,The University of Birmingham,1500,3591,165636.0
10000712,University College Birmingham,159,309,0.0
10007811,Bishop Grosseteste University,102,228,13481.0
10006841,The University of Bolton,32,428,7601.66
10000385,The Arts University Bournemouth,180,224,7400.0
10000824,Bournemouth University,817,1201,1140406.0
10007785,The University of Bradford,210,1298,50677.0
10000886,The University of Brighton,1103,1432,355612.77
10000936,The University College of Osteopathy,81,10,0.0
10007786,The University of Bristol,3487,1826,413862.0
10000961,Brunel University London,787,2106,0.0
10000975,Buckinghamshire New University,228,524,123815.0
10007788,The University of Cambridge,11000,3500,686419.0
10003324,The Institute of Cancer Research,90,362,30019.0
10001143,Canterbury Christ Church University,857,1041,55373.0
10007814,Cardiff University,3554,1990,183399.0
10007854,Cardiff Metropolitan University,530,1605,41000.0
10007141,The University of Central Lancashire,669,1955,736350.0
10007848,University of Chester,272,2417,372380.0
10007137,The University of Chichester,513,800,35234.0
10001478,"City, University of London",270,28,14280.0
10007761,Courtauld Institute of Art,0,0,0.0
10001726,Coventry University,1114,1838,118789.46
10007822,Cranfield University,474,2126,2748087.039
10006427,University for the Creative Arts,142,723,17680.0
10007842,University of Cumbria,329,924,0.0
10001883,De Montfort University,764,966,114119.0
10007851,University of Derby,420,1818,127914.29
10007852,The University of Dundee,637,765,13000.0
10007143,University of Durham,1523,3171,276070.0
10007789,The University of East Anglia,3618,1972,152711.0
10007144,The University of East London,516,700,87195.9
10007823,Edge Hill University,209,1647,26200.0
10007772,Edinburgh Napier University,677,775,28397.88
10007790,The University of Edinburgh,5354,2803,101773.0
10007791,The University of Essex,1068,2052,80727.0
10007792,The University of Exeter,1659,1986,380000.0
10008640,Falmouth University,530,601,43647.0
10004511,The National Film and Television School,30,105,0.0
10007762,Glasgow Caledonian University,168,141,0.0
10002681,Glasgow School of Art,72,40,0.0
10007794,The University of Glasgow,939,1575,118311.0
10007145,University of Gloucestershire,700,954,25260.0
10007833,Glyndŵr University,72,1368,1328.0
10002718,Goldsmiths College,450,111,107401.29
10007146,The University of Greenwich,456,1564,35093.0
10007825,Guildhall School of Music and Drama,147,2,0.0
10040812,Harper Adams University,96,1426,1451132.17
10007764,Heriot-Watt University,609,2101,3518.0
10007147,University of Hertfordshire,1700,3502,2640000.0
10007148,The University of Huddersfield,154,667,3182.0
10007149,The University of Hull,970,2025,381063.6
10003270,"Imperial College of Science, Technology and Medicine",2610,1276,11157.0
10007767,Keele University,464,2303,260563.0
10007150,The University of Kent,1504,2405,78000.0
10003645,King's College London,989,151,123448.0
10003678,Kingston University,1145,1697,0.0
10007768,The University of Lancaster,1201,2849,3198926.0
10003854,Leeds Arts University,20,60,0.0
10003861,Leeds Beckett University,1025,1610,111964.24
10007795,The University of Leeds,2214,1891,337435.0
10003863,Leeds Trinity University,44,483,6054.0
10007796,The University of Leicester,2542,2033,405179.0
10007151,The University of Lincoln,1340,981,19492.0
10003956,Liverpool Hope University,201,706,17054.0
10003957,Liverpool John Moores University,473,742,7363.0
10003945,The Liverpool Institute for Performing Arts,26,26,0.0
10006842,The University of Liverpool,745,1900,71357.56
10003958,Liverpool School of Tropical Medicine,120,121,9742.0
10007162,"University of the Arts, London",1217,125,7171.022
10004048,London Metropolitan University,138,25,42518.5
10004078,London South Bank University,312,118,683551.0
10004063,London School of Economics and Political Science,492,56,106375.0
10004113,Loughborough University,2110,3590,0.0
10004180,The Manchester Metropolitan University,1154,1433,308911.0
10007798,The University of Manchester,3000,3669,61217.0
10004351,Middlesex University,164,555,58767.0
10007799,Newcastle University,2040,728,98379.571
10007832,Newman University,65,389,95035.0
10007138,The University of Northampton,414,2085,30137.0
10001282,University of Northumbria at Newcastle,863,1493,191590.0
10004775,Norwich University of the Arts,205,50,0.0
10007154,University of Nottingham,5097,4815,0.0
10004797,The Nottingham Trent University,899,1891,1789108.0
10007773,The Open University,658,2751,173301.0
10004930,Oxford Brookes University,2945,1572,94724.0
10007774,The University of Oxford,4364,1721,331906.18
10005127,Arts University Plymouth,25,26,14295.242
10007801,University of Plymouth,293,641,92604.0
10007155,The University of Portsmouth,1639,1191,0.0
10005337,"Queen Margaret University, Edinburgh",283,431,4284832.0
10007775,Queen Mary University of London,895,220,0.0
10005389,Ravensbourne University London,100,8,0.0
10007802,The University of Reading,3362,2256,107353.089
10005500,Robert Gordon University,288,1112,29668.0
