UKPRN,HE provider,cycle_spaces,car_spaces,energy
10007783,The University of Aberdeen,909,1528,146413.6
10007849,Abertay University,86,225,0.0
10007856,Aberystwyth University,362,2354,33361.25
10000291,Anglia Ruskin University,2096,679,84198.431
10007759,Aston University,136,753,41155.1
10007857,Bangor University,685,1819,73574.06
10000571,Bath Spa University,340,1006,2403925.0
10007850,The University of Bath,865,2191,150704.0
10007152,University of Bedfordshire,197,471,132583.0
10005343,Queen's University Belfast,1530,1290,0.0
10007760,Birkbeck College,112,0,0.0
10007140,Birmingham City University,0,0,80322.0
10006840,The University of Birmingham,1805,3563,260229.0
10007811,Bishop Grosseteste University,102,368,10279.1
10000385,The Arts University Bournemouth,282,260,72711.8
10000824,Bournemouth University,888,1386,1933392.0
10007785,The University of Bradford,154,820,40000.0
10000886,The University of Brighton,1058,1590,497168.0
10007786,The University of Bristol,3966,1962,12028240.0
10000961,Brunel University London,787,1968,4716500.0
10000975,Buckinghamshire New University,378,545,126881.0
10007788,The University of Cambridge,11200,3526,25099976.0
10003324,The Institute of Cancer Research,100,362,66074.0
10001143,Canterbury Christ Church University,847,383,0.0
10007814,Cardiff University,4090,1873,283826.006
10007854,Cardiff Metropolitan University,530,1640,36119.0
10007141,The University of Central Lancashire,685,2110,139113.684
10007848,University of Chester,312,2417,331354.0
10007137,The University of Chichester,575,871,43267.0
10001478,"City, University of London",208,16,0.0
10001726,Coventry University,1456,2107,325649.0
10007822,Cranfield University,522,2253,3374860.051
10006427,University for the Creative Arts,313,588,1386000.0
10007842,University of Cumbria,172,960,0.0
10001883,De Montfort University,780,1005,205564.0
10007851,University of Derby,490,1818,48770.82
10007852,The University of Dundee,653,765,13000.0
10007143,University of Durham,2061,3217,355320.0
10007789,The University of East Anglia,4100,1972,240497.0
10007144,The University of East London,516,700,73411.0
10007772,Edinburgh Napier University,677,770,27528.0
10007790,The University of Edinburgh,7604,2495,235687.0
10007791,The University of Essex,1088,2996,554958.0
10007792,The University of Exeter,1689,1846,3137735.588
10008640,Falmouth University,338,568,55000.0
10004511,The National Film and Television School,30,105,0.0
10007762,Glasgow Caledonian University,188,143,0.0
10002681,Glasgow School of Art,72,40,0.0
10007794,The University of Glasgow,1754,1598,21982.77
10007145,University of Gloucestershire,747,1232,0.0
10007833,Glyndŵr University,72,1340,83683.0
10002718,Goldsmiths College,0,0,0.0
10007146,The University of Greenwich,594,1330,33660.0
10007825,Guildhall School of Music and Drama,165,2,0.0
10007764,Heriot-Watt University,609,2104,18236.0
10007147,University of Hertfordshire,1710,2870,280500.0
10007148,The University of Huddersfield,90,580,89075.0
10007149,The University of Hull,1137,1971,224502.0
